unix,date,symbol,open,high,low,close,volume
1702166400000,12-10-2023,BTCUSDT,43713.59000000,44049.00000000,43563.00000000,43789.51000000,18956.61758000
1702080000000,12-09-2023,BTCUSDT,44171.00000000,44358.02000000,43584.51000000,43713.60000000,24925.97008000
1701993600000,12-08-2023,BTCUSDT,43273.15000000,44700.00000000,43081.10000000,44170.99000000,42900.37556000
1701907200000,12-07-2023,BTCUSDT,43762.69000000,44047.33000000,42821.10000000,43273.14000000,47103.26845000
1701820800000,12-06-2023,BTCUSDT,44073.82000000,44297.21000000,43335.28000000,43762.69000000,51431.10492000
1701734400000,12-05-2023,BTCUSDT,41991.10000000,44488.00000000,41414.00000000,44073.32000000,67490.74644000
1701648000000,12-04-2023,BTCUSDT,39972.26000000,42420.00000000,39972.26000000,41991.10000000,79272.33059000
1701561600000,12-03-2023,BTCUSDT,39450.35000000,40250.00000000,39274.86000000,39972.26000000,26710.65335000
1701475200000,12-02-2023,BTCUSDT,38682.51000000,39717.14000000,38641.61000000,39450.35000000,26696.92161000
1701388800000,12-01-2023,BTCUSDT,37723.97000000,38999.00000000,37615.86000000,38682.52000000,43415.66324000
1701302400000,11-30-2023,BTCUSDT,37854.65000000,38145.85000000,37500.00000000,37723.96000000,24740.29147000
1701216000000,11-29-2023,BTCUSDT,37818.88000000,38450.00000000,37570.00000000,37854.64000000,32994.19107000
1701129600000,11-28-2023,BTCUSDT,37242.70000000,38377.00000000,36868.41000000,37818.87000000,37544.46667000
1701043200000,11-27-2023,BTCUSDT,37447.42000000,37569.23000000,36707.00000000,37242.70000000,30001.07376000
1700956800000,11-26-2023,BTCUSDT,37780.67000000,37814.63000000,37150.00000000,37447.43000000,21264.53723000
1700870400000,11-25-2023,BTCUSDT,37713.57000000,37888.00000000,37591.10000000,37780.67000000,11396.14464000
1700784000000,11-24-2023,BTCUSDT,37294.27000000,38414.00000000,37251.51000000,37713.57000000,44680.80646000
1700697600000,11-23-2023,BTCUSDT,37408.35000000,37653.44000000,36870.00000000,37294.28000000,23827.92882000
1700611200000,11-22-2023,BTCUSDT,35741.65000000,37861.10000000,35632.01000000,37408.34000000,45051.30697000
1700524800000,11-21-2023,BTCUSDT,37448.79000000,37649.44000000,35735.00000000,35741.65000000,47646.54804000
1700438400000,11-20-2023,BTCUSDT,37359.85000000,37750.00000000,36677.00000000,37448.78000000,36022.70291000
1700352000000,11-19-2023,BTCUSDT,36568.11000000,37500.00000000,36384.02000000,37359.86000000,21246.34648000
1700265600000,11-18-2023,BTCUSDT,36613.91000000,36845.49000000,36178.58000000,36568.10000000,17102.24186000
1700179200000,11-17-2023,BTCUSDT,36163.51000000,36800.00000000,35861.10000000,36613.92000000,38283.61112000
1700092800000,11-16-2023,BTCUSDT,37858.20000000,37929.54000000,35500.00000000,36163.51000000,47490.39566000
1700006400000,11-15-2023,BTCUSDT,35551.20000000,37980.00000000,35360.00000000,37858.20000000,53569.13385000
1699920000000,11-14-2023,BTCUSDT,36462.93000000,36744.00000000,34800.00000000,35551.19000000,45503.68416000
1699833600000,11-13-2023,BTCUSDT,37064.13000000,37417.99000000,36333.00000000,36462.93000000,32798.18252000
1699747200000,11-12-2023,BTCUSDT,37129.99000000,37222.22000000,36731.10000000,37064.13000000,17687.18874000
1699660800000,11-11-2023,BTCUSDT,37301.63000000,37408.26000000,36666.93000000,37130.00000000,22984.97235000
1699574400000,11-10-2023,BTCUSDT,36701.10000000,37526.00000000,36324.71000000,37301.63000000,43414.04898000
1699488000000,11-09-2023,BTCUSDT,35624.72000000,37972.24000000,35534.05000000,36701.09000000,82537.88885000
1699401600000,11-08-2023,BTCUSDT,35399.13000000,36106.00000000,35100.00000000,35624.72000000,33401.34137000
1699315200000,11-07-2023,BTCUSDT,35046.09000000,35888.00000000,34523.06000000,35399.12000000,38688.73692000
1699228800000,11-06-2023,BTCUSDT,35011.89000000,35276.33000000,34725.90000000,35046.09000000,22346.47086000
1699142400000,11-05-2023,BTCUSDT,35062.06000000,35380.00000000,34448.00000000,35011.88000000,24528.73376000
1699056000000,11-04-2023,BTCUSDT,34716.78000000,35255.00000000,34585.18000000,35062.07000000,18377.55545000
1698969600000,11-03-2023,BTCUSDT,34941.58000000,34946.50000000,34120.00000000,34716.78000000,39071.20644000
1698883200000,11-02-2023,BTCUSDT,35421.43000000,35984.99000000,34300.00000000,34941.59000000,48015.57732000
1698796800000,11-01-2023,BTCUSDT,34639.78000000,35582.00000000,34097.39000000,35421.43000000,53473.28165000
1698710400000,10-31-2023,BTCUSDT,34474.74000000,34720.49000000,34025.00000000,34639.77000000,32737.89822000
1698624000000,10-30-2023,BTCUSDT,34525.88000000,34856.00000000,34062.84000000,34474.73000000,33657.95976000
1698537600000,10-29-2023,BTCUSDT,34081.01000000,34750.11000000,33930.00000000,34525.89000000,20685.52176000
1698451200000,10-28-2023,BTCUSDT,33892.01000000,34493.33000000,33860.00000000,34081.00000000,16880.13144000
1698364800000,10-27-2023,BTCUSDT,34151.66000000,34245.00000000,33390.95000000,33892.02000000,32330.40106000
1698278400000,10-26-2023,BTCUSDT,34496.05000000,34824.13000000,33751.00000000,34151.66000000,39744.66255000
1698192000000,10-25-2023,BTCUSDT,33922.73000000,35132.85000000,33679.05000000,34496.05000000,54887.02529000
1698105600000,10-24-2023,BTCUSDT,33069.99000000,35280.00000000,32832.34000000,33922.73000000,115265.02418000
1698019200000,10-23-2023,BTCUSDT,29992.46000000,34741.91000000,29883.60000000,33069.99000000,93513.64246000
1697932800000,10-22-2023,BTCUSDT,29909.80000000,30248.00000000,29640.00000000,29992.46000000,22852.54563000
1697846400000,10-21-2023,BTCUSDT,29669.05000000,30379.99000000,29464.77000000,29909.80000000,27517.51897000
1697760000000,10-20-2023,BTCUSDT,28713.71000000,30207.55000000,28578.29000000,29669.04000000,59422.09920000
1697673600000,10-19-2023,BTCUSDT,28320.00000000,28916.89000000,28100.66000000,28713.71000000,35895.50179000
1697587200000,10-18-2023,BTCUSDT,28395.91000000,28982.36000000,28142.87000000,28320.00000000,32162.47591000
1697500800000,10-17-2023,BTCUSDT,28500.77000000,28613.65000000,28069.32000000,28395.91000000,38428.44532000
1697414400000,10-16-2023,BTCUSDT,27154.14000000,30000.00000000,27112.66000000,28500.78000000,78399.22445000
1697328000000,10-15-2023,BTCUSDT,26852.48000000,27293.33000000,26808.25000000,27154.15000000,15274.69170000
1697241600000,10-14-2023,BTCUSDT,26862.00000000,26989.58000000,26789.00000000,26852.48000000,10417.25576000
1697155200000,10-13-2023,BTCUSDT,26759.63000000,27130.00000000,26685.00000000,26862.00000000,24115.76499000
1697068800000,10-12-2023,BTCUSDT,26875.52000000,26947.04000000,26555.00000000,26759.63000000,23428.64112000
1696982400000,10-11-2023,BTCUSDT,27390.12000000,27477.39000000,26538.66000000,26875.52000000,37349.44706000
1696896000000,10-10-2023,BTCUSDT,27590.12000000,27735.00000000,27298.00000000,27390.12000000,22776.84383000
1696809600000,10-09-2023,BTCUSDT,27917.06000000,27987.93000000,27260.00000000,27590.12000000,31534.74639000
1696723200000,10-08-2023,BTCUSDT,27956.67000000,28095.14000000,27687.50000000,27917.05000000,19693.56921000
1696636800000,10-07-2023,BTCUSDT,27931.10000000,28029.67000000,27842.08000000,27956.67000000,13348.83825000
1696550400000,10-06-2023,BTCUSDT,27410.39000000,28295.00000000,27175.94000000,27931.09000000,37983.24277000
1696464000000,10-05-2023,BTCUSDT,27778.57000000,28120.39000000,27352.00000000,27410.39000000,30681.49619000
1696377600000,10-04-2023,BTCUSDT,27426.45000000,27839.72000000,27202.00000000,27778.57000000,29816.14200000
1696291200000,10-03-2023,BTCUSDT,27494.51000000,27676.52000000,27160.50000000,27426.46000000,28928.96555000
1696204800000,10-02-2023,BTCUSDT,27992.58000000,28580.00000000,27281.44000000,27494.51000000,57071.14241000
1696118400000,10-01-2023,BTCUSDT,26962.57000000,28065.51000000,26954.09000000,27992.57000000,24602.81468000
1696032000000,09-30-2023,BTCUSDT,26906.96000000,27094.99000000,26886.31000000,26962.56000000,12804.62307000
1695945600000,09-29-2023,BTCUSDT,27021.39000000,27244.89000000,26665.16000000,26906.96000000,28478.76219000
1695859200000,09-28-2023,BTCUSDT,26373.00000000,27308.48000000,26342.40000000,27021.39000000,44517.83491000
1695772800000,09-27-2023,BTCUSDT,26221.68000000,26850.00000000,26112.06000000,26372.99000000,34771.57978000
1695686400000,09-26-2023,BTCUSDT,26304.80000000,26397.46000000,26088.34000000,26221.67000000,18495.35066000
1695600000000,09-25-2023,BTCUSDT,26248.39000000,26446.15000000,25990.46000000,26304.81000000,26266.20390000
1695513600000,09-24-2023,BTCUSDT,26575.97000000,26738.54000000,26122.08000000,26248.38000000,15706.65771000
